"site_name","basal_mean_1911","basal_mean_2011","basal_min_1911","basal_max_1911","basal_min_2011","basal_max_2011"
"Ashland",18.5579172080225,195.838567659864,0,77.1695220104053,61.1216540788685,338.116026512698
"Big Butte",26.6733151514699,212.625278112497,0.434683145491015,72.3533591323981,154.805735938462,346.865787775554
"Briggs Secret",69.2619141805184,363.121153750994,17.0660792523382,131.31348723772,243.779747652315,541.707022850825
"Elder Creek",67.9472869915994,316.389717863907,2.38793186035696,181.227602560047,92.5901987700529,441.710695284405
"Elliot Ridge",14.1741945130367,151.111765387603,0,33.2998231448455,110.744678469522,210.995647872239
"Emigrant Creek",39.6288058929857,283.800650457724,9.33473510095818,79.0465461822605,224.807452385192,372.110808222411
"Evans Creek",37.6131318929203,241.241610883551,7.2981815755337,57.6704262348089,129.40586896825,349.250626720045
"Grayback Creek",74.1667197796484,400.361108027886,1.78646793782633,151.50895754582,307.883957275481,538.827323025516
"Star Gulch",16.728533570208,146.847350134247,0,53.691956211762,91.592649107137,271.027362629319
"Taylor Ridge",44.0104984858173,239.270578111453,8.58968072693775,137.61772027064,162.880272767657,353.271643999091
"Trail Creek",35.7554936235338,192.901667848582,0,134.020009247724,68.3868931573269,416.019582004686
