"field_pvt","tph_1911","tph_2011","baph_1911","baph_2011","sdi_1911","sdi_2011","rdi_1911","rdi_2011","qmd_1911","qmd_2011"
"Douglas-fir - Dry","134.6 (103.1)","531.1 (214.2)","14.8 (12.5)","47.9 (17.0)","85.6 (67.3)","310.5 (90.8)","0.17 (0.13)","0.61 (0.18)","37.3 (14.4)","35.2 (8.4)"
"Tan oak - Douglas-fir - Dry","118.0 (79.5)","596.7 (162.1)","15.5 (15.1)","82.4 (26.0)","87.2 (77.5)","463.1 (118.8)","0.16 (0.14)","0.83 (0.21)","37.7 (16.9)","42.6 (8.7)"
"White fir - Intermediate","121.1 (108.4)","450.9 (233.2)","18.6 (16.7)","47.8 (15.4)","85.3 (60.4)","297.5 (89.5)","0.16 (0.11)","0.56 (0.17)","46.9 (22.1)","39.5 (10.2)"
