"site_name","Avg_tpa_1911","Avg_tpa_2011"
"Ashland",65.5042593220339,201.245546440678
"Big Butte",85.388746,217.316382
"Briggs Secret",54.227924,228.64759
"Elder Creek",57.870098,292.587978
"Elliot Ridge",48.157634,157.82754
"Emigrant Creek",105.623046,243.620972
"Evans Creek",65.559132,255.761552
"Grayback Creek",85.793432,320.106626
"Star Gulch",18.615556,328.200346
"Taylor Ridge",82.555944,263.855272
"Trail Creek",57.0239363636364,169.232327272727
