"rodne_pid","basal_ft2_2011","site_name","plot_size","plot_type","baph_2011","basal_ft2_1911","baph_1911","bapa_1911","bapa_2011","tpp_2011","tph_2011","tpp_1911","tph_1911","tpa_1911","tpa_2011"
"AA",1348.37664713929,"Ashland",3,"stem",449.458882379764,159.347775227241,53.1159250757468,21.4952522397025,181.889556368457,1505,501.666666666667,202,67.3333333333333,27.2488573333333,203.017476666667
"AB",1467.63924307451,"Ashland",3,"stem",489.213081024836,45.0557916148455,15.0185972049485,6.07781065182399,197.977509769334,1338,446,83,27.6666666666667,11.1963126666667,180.489956
"AC",1338.18996895344,"Ashland",3,"stem",446.06332298448,110.629229757614,36.8764099192046,14.9233536228085,180.515422234628,661,220.333333333333,96,32,12.949952,89.1658153333333
"AD",1479.74352352618,"Ashland",3,"stem",493.247841175392,53.1451084106029,17.7150361368676,7.16902077210148,199.610319271178,645,215,36,12,4.856232,87.00749
"BA",1097.37027586618,"Big Butte",3,"stem",365.790091955394,159.596075023037,53.1986916743456,21.5287466937926,148.029998200208,887,295.666666666667,330,110,44.51546,119.652160666667
"CA",1817.63120933588,"Trail Creek",3,"stem",605.877069778628,482.613365136894,160.871121712298,65.1022331694014,245.189750956443,576,192,398,132.666666666667,53.6883426666667,77.699712
"MA",1863.12282990035,"Emigrant Creek",3,"stem",621.040943300118,469.826960229616,156.608986743205,63.3774083431436,251.326352847694,757,252.333333333333,461,153.666666666667,62.1867486666667,102.115767333333
"VA",2009.00386959965,"Evans Creek",3,"stem",669.667956533217,455.771599606215,151.923866535405,61.4814074640027,271.005006916473,777,259,350,116.666666666667,47.2133666666667,104.813674
